# Data from /Users/wangzhe/Desktop/examples/2D-NICS_output/benzene_2DNICS_XY.log.
# Shielding tensor data from ZZ component.
# Processed with py.Aroma.
# Author: Zhe Wang
# Homepage: https://wongzit.github.io


XY,-3.5,-3.3,-3.1,-2.9,-2.7,-2.5,-2.3,-2.1,-1.9,-1.7,-1.5,-1.3,-1.1,-0.9,-0.7,-0.5,-0.3,-0.1,0.1,0.3,0.5,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.1,3.3,3.5,
-3.5,1.1967,1.2916,1.3924,1.4988,1.6095,1.7224,1.8337,1.937,2.0236,2.0839,2.11,2.1005,2.0661,2.0304,2.0243,2.0719,2.1765,2.317,2.459,2.5704,2.6313,2.6367,2.5927,2.5112,2.4056,2.2875,2.1654,2.0447,1.9278,1.815,1.7058,1.5994,1.4955,1.3944,1.2967,1.2031,
-3.3,1.2919,1.3991,1.5135,1.6348,1.7615,1.8908,2.0168,2.1299,2.2157,2.2571,2.2388,2.1558,2.025,1.8915,1.8198,1.8639,2.0343,2.2891,2.5585,2.7791,2.9142,2.9551,2.9135,2.8111,2.672,2.5175,2.363,2.2174,2.0834,1.9596,1.8426,1.7293,1.6177,1.5078,1.4004,1.2967,
-3.1,1.393,1.5137,1.6433,1.7815,1.9268,2.0753,2.2191,2.3434,2.4255,2.4362,2.3461,2.1401,1.8404,1.5259,1.3226,1.3446,1.6191,2.0654,2.5476,2.9475,3.2016,3.298,3.2588,3.1224,2.9311,2.7223,2.5237,2.3497,2.2027,2.0765,1.9616,1.85,1.7372,1.6224,1.5072,1.394,
-2.9,1.4992,1.6347,1.781,1.9383,2.1051,2.2771,2.4436,2.5836,2.6628,2.6336,2.4431,2.0552,1.4914,0.8772,0.4386,0.3978,0.8185,1.5561,2.3632,3.0329,3.4615,3.6356,3.5949,3.4035,3.1321,2.8449,2.5891,2.3886,2.2428,2.1347,2.0426,1.9496,1.8473,1.7347,1.6153,1.4941,
-2.7,1.6092,1.76,1.9241,2.1022,2.2939,2.4947,2.6914,2.8557,2.9387,2.8685,2.558,1.9351,1.0085,-0.0438,-0.8555,-1.0361,-0.4507,0.6712,1.9192,2.9552,3.6181,3.8919,3.841,3.566,3.1787,2.7843,2.4627,2.2513,2.1413,2.0931,2.0616,2.0153,1.9415,1.8414,1.7231,1.5959,
-2.5,1.72,1.8856,2.0668,2.266,2.4845,2.719,2.9546,3.1557,3.2564,3.1555,2.723,1.8367,0.4757,-1.1367,-2.4718,-2.9179,-2.2195,-0.685,1.0773,2.5572,3.5098,3.9067,3.8381,3.4496,2.9093,2.3839,2.0042,1.8271,1.8231,1.9084,1.9975,2.0386,2.0172,1.9418,1.8301,1.6991,
-2.3,1.8268,2.004,2.1984,2.4147,2.6574,2.9265,3.2071,3.4567,3.5916,3.4782,2.9379,1.7889,-0.0338,-2.2804,-4.2712,-5.1546,-4.5045,-2.6584,-0.408,1.5428,2.8306,3.3856,3.3107,2.7988,2.091,1.4414,1.0545,1.0087,1.2306,1.5592,1.8485,2.0245,2.0795,2.0393,1.9379,1.8039,
-2.1,1.9226,2.1041,2.3015,2.5223,2.7766,3.07,3.3908,3.6913,3.8691,3.7552,3.1183,1.7134,-0.5745,-3.486,-6.2263,-7.7377,-7.4027,-5.507,-2.9425,-0.5783,1.075,1.8567,1.8449,1.2689,0.4567,-0.2243,-0.4797,-0.223,0.3905,1.0886,1.6541,2.0013,2.1455,2.1428,2.0503,1.9115,
-1.9,1.9991,2.1713,2.3516,2.5505,2.7851,3.0712,3.4048,3.7354,3.9404,3.8095,3.0522,1.3593,-1.4256,-5.0284,-8.5739,-10.8741,-11.1627,-9.6069,-7.06,-4.4514,-2.4267,-1.2902,-1.0524,-1.4845,-2.1737,-2.6298,-2.4839,-1.6857,-0.514,0.639,1.5072,2.0223,2.2431,2.2655,2.1729,2.0235,
-1.7,2.0482,2.1906,2.3217,2.4522,2.6076,2.8196,3.0999,3.3996,3.5719,3.3547,2.3859,0.2924,-3.0965,-7.4515,-11.8196,-14.9725,-16.1081,-15.276,-13.1539,-10.5693,-8.2149,-6.5453,-5.725,-5.596,-5.7053,-5.4812,-4.5505,-2.9709,-1.1592,0.4237,1.5297,2.15,2.4016,2.4197,2.3099,2.1408,
-1.5,2.0661,2.1533,2.1914,2.1854,2.1673,2.1915,2.2978,2.4472,2.4651,2.0219,0.6696,-2.0213,-6.1839,-11.3541,-16.4664,-20.3289,-22.2569,-22.2843,-20.8759,-18.6164,-16.0834,-13.7751,-12.0052,-10.7667,-9.6791,-8.2161,-6.1256,-3.6345,-1.2486,0.6119,1.8063,2.4224,2.6358,2.6102,2.4618,2.2623,
-1.3,2.0576,2.066,1.9655,1.7437,1.432,1.1115,0.8649,0.6786,0.3535,-0.5176,-2.4748,-5.9716,-11.0141,-16.8991,-22.415,-26.4877,-28.7184,-29.3091,-28.6201,-26.9515,-24.5862,-21.8417,-19.028,-16.2935,-13.4869,-10.3404,-6.8768,-3.5071,-0.7262,1.2054,2.3221,2.8235,2.9333,2.8278,2.6226,2.3841,
