#
#   File Created by py.Aroma 3
#   Author: Zhe Wang (Ph.D.)
#   https://wongzit.github.com/program/pyaroma/
#

XY,-5.64,-5.44,-5.24,-5.04,-4.84,-4.64,-4.44,-4.24,-4.04,-3.84,-3.64,-3.44,-3.24,-3.04,-2.84,-2.64,-2.44,-2.24,-2.04,-1.84,-1.64,-1.44,-1.24,-1.04,-0.84,-0.64,-0.44,-0.24,-0.04,0.16,0.36,0.56,0.76,0.96,1.16,1.36,1.56,1.76,1.96,2.16,2.36,2.56,2.76,2.96,3.16,3.36,3.56,3.76,3.96,4.16,4.36,4.56,4.76,4.96,5.16,5.36,5.56,
-4.81,-0.0382,-0.0457,-0.0519,-0.056,-0.0572,-0.0545,-0.047,-0.0335,-0.0132,0.0147,0.0511,0.0961,0.1498,0.2121,0.2824,0.36,0.444,0.5336,0.6279,0.726,0.8273,0.9311,1.0365,1.1425,1.2475,1.3494,1.4456,1.5335,1.6109,1.6767,1.7315,1.7771,1.8158,1.849,1.8762,1.8947,1.9014,1.8945,1.8755,1.8483,1.8169,1.7834,1.7475,1.7075,1.6615,1.6084,1.5484,1.4831,1.4142,1.3438,1.2736,1.2047,1.138,1.0737,1.0121,0.9532,0.8972,
-4.61,-0.0743,-0.0867,-0.0979,-0.1071,-0.1131,-0.1148,-0.1108,-0.0998,-0.0805,-0.0517,-0.0126,0.0374,0.0982,0.1694,0.2504,0.3399,0.4369,0.5401,0.6484,0.761,0.877,0.9959,1.1169,1.2387,1.3593,1.4762,1.5858,1.685,1.7715,1.8451,1.9082,1.9652,2.0205,2.076,2.1285,2.1686,2.1845,2.1698,2.1285,2.0727,2.0145,1.9603,1.9104,1.8612,1.8083,1.7485,1.6812,1.6073,1.5293,1.4496,1.3705,1.2934,1.219,1.1477,1.0797,1.015,0.9536,
-4.41,-0.1166,-0.1351,-0.1527,-0.1684,-0.1807,-0.1882,-0.1892,-0.1817,-0.164,-0.1346,-0.0923,-0.0364,0.033,0.1154,0.2094,0.3135,0.4259,0.5451,0.6698,0.799,0.9319,1.0683,1.2072,1.347,1.4852,1.6179,1.7406,1.8494,1.9425,2.0222,2.095,2.1711,2.2607,2.3689,2.4873,2.5884,2.6337,2.6001,2.5001,2.3718,2.2508,2.153,2.0774,2.0147,1.9547,1.8897,1.8163,1.7348,1.648,1.559,1.4708,1.3851,1.3029,1.2245,1.1499,1.0792,1.0121,
-4.21,-0.1656,-0.1916,-0.2171,-0.2409,-0.2612,-0.2761,-0.2833,-0.2805,-0.2653,-0.2354,-0.1892,-0.1259,-0.0455,0.0508,0.1611,0.283,0.414,0.552,0.6956,0.8439,0.9965,1.1534,1.3136,1.4749,1.6329,1.7819,1.9151,2.0278,2.1199,2.1988,2.2802,2.3871,2.5458,2.7759,3.0641,3.335,3.4678,3.3845,3.1251,2.8103,2.5413,2.3526,2.2314,2.151,2.0867,2.0217,1.9472,1.8616,1.7679,1.6704,1.5733,1.479,1.389,1.3034,1.2223,1.1454,1.0726,
-4.01,-0.2216,-0.2564,-0.2914,-0.3247,-0.3544,-0.3779,-0.3926,-0.3953,-0.3828,-0.3522,-0.3011,-0.2281,-0.1336,-0.0194,0.1114,0.255,0.408,0.5676,0.7326,0.9028,1.0787,1.2609,1.4484,1.6372,1.8198,1.9856,2.1237,2.2277,2.3013,2.3621,2.4431,2.5946,2.8847,3.381,4.0766,4.7829,5.1501,4.9373,4.2682,3.5003,2.9015,2.5332,2.3377,2.2394,2.1821,2.1303,2.0659,1.9839,1.8876,1.7834,1.6779,1.5751,1.477,1.3842,1.2964,1.2135,1.1349,
-3.81,-0.2843,-0.3292,-0.3746,-0.4183,-0.4578,-0.49,-0.5119,-0.5196,-0.5092,-0.4766,-0.4183,-0.3324,-0.2193,-0.0821,0.0742,0.2439,0.4218,0.605,0.793,0.9876,1.1913,1.4067,1.6326,1.8621,2.0807,2.2674,2.4018,2.474,2.4949,2.5005,2.5549,2.7606,3.2761,4.2903,5.8458,7.5382,8.4665,7.9304,6.3042,4.5627,3.3161,2.6341,2.3348,2.2332,2.2105,2.1994,2.1664,2.1013,2.0091,1.9006,1.7867,1.6745,1.5676,1.467,1.3724,1.2832,1.1988,
-3.61,-0.3528,-0.4085,-0.4643,-0.5174,-0.5645,-0.6025,-0.6278,-0.6368,-0.6249,-0.5869,-0.5176,-0.4141,-0.2766,-0.1099,0.0777,0.2772,0.4813,0.6871,0.8967,1.1162,1.3532,1.6146,1.9008,2.2009,2.4861,2.7117,2.8338,2.8346,2.7399,2.6198,2.591,2.8446,3.7018,5.5891,8.7047,12.3827,14.5624,13.2397,9.5578,6.0044,3.6823,2.5403,2.1314,2.072,2.14,2.2191,2.2531,2.2249,2.1439,2.0309,1.9056,1.7808,1.6627,1.5528,1.4504,1.3546,1.2641,
-3.41,-0.4255,-0.4912,-0.5553,-0.6134,-0.6612,-0.6952,-0.7127,-0.7117,-0.6889,-0.6383,-0.5522,-0.4246,-0.2553,-0.0518,0.1728,0.4035,0.63,0.8508,1.0736,1.3136,1.5888,1.9169,2.307,2.7458,3.1775,3.5018,3.6154,3.4806,3.1578,2.7869,2.5736,2.845,4.169,7.3379,12.8489,19.8116,24.1798,21.2642,13.9676,7.6174,3.802,2.0986,1.6239,1.6996,1.957,2.21,2.3661,2.3979,2.3269,2.1972,2.0477,1.901,1.7658,1.6433,1.5314,1.428,1.331,
-3.21,-0.4998,-0.5731,-0.6399,-0.6929,-0.7249,-0.7316,-0.7134,-0.6751,-0.6203,-0.5444,-0.4346,-0.2775,-0.0694,0.1784,0.4435,0.7013,0.9366,1.1514,1.3652,1.6101,1.9247,2.3509,2.925,3.6453,4.4127,5.0034,5.167,4.8094,4.0699,3.2363,2.6732,2.9055,4.8101,9.6049,18.064,28.7034,35.0463,30.0665,18.6573,9.0446,3.4977,1.2074,0.7622,1.1228,1.7312,2.2956,2.6541,2.7553,2.6536,2.4536,2.2386,2.0459,1.8815,1.7404,1.6161,1.5038,1.3995,
